Location,Latitude,Longitude,Facility Type,Facility Size,Technology Level,Crop,Evapotranspiration (L/year),Annual Water Consumption (L/year),Annual Energy Consumption (MWh/year),Annual CO2 Emissions (kg CO2-eq/year)
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,High-tech,Lettuce,1181242.161,1181242.161,52.0344,11877.43421
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,High-tech,Spinach,1190316.435,1190316.435,52.0344,11877.43421
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,High-tech,Broccoli,1180008.86,1180008.86,52.0344,11877.43421
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,High-tech,Basil,1083671.407,1083671.407,52.0344,11877.43421
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,High-tech,Tomatoes,1568909.506,1568909.506,52.0344,11877.43421
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,High-tech,Bell peppers,1376060.897,1376060.897,52.0344,11877.43421
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,High-tech,Zucchini,1126997.208,1126997.208,52.0344,11877.43421
"Lihue, Hawaii",21.9769622,-159.3687721,Hoop House,Large,High-tech,Strawberries,1000817.932,1000817.932,52.0344,11877.43421
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,Low-tech,Roses,443189.9588,443189.9588,57.816,13197.14912
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,Low-tech,Lettuce,576060.8438,576060.8438,57.816,13197.14912
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,Low-tech,Spinach,580269.0931,580269.0931,57.816,13197.14912
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,Low-tech,Broccoli,576657.0858,576657.0858,57.816,13197.14912
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,Low-tech,Basil,527034.8904,527034.8904,57.816,13197.14912
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,Low-tech,Tomatoes,760195.7407,760195.7407,57.816,13197.14912
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,Low-tech,Bell peppers,668015.5998,668015.5998,57.816,13197.14912
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,Low-tech,Zucchini,549492.4564,549492.4564,57.816,13197.14912
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,Low-tech,Strawberries,488269.3207,488269.3207,57.816,13197.14912
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,High-tech,Roses,451715.2459,903430.4918,246.0301459,56159.13456
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,High-tech,Lettuce,584491.6988,1168983.398,240.818462,54969.50939
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,High-tech,Spinach,589101.362,1178202.724,234.0739063,53441.10868
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,High-tech,Broccoli,583201.2194,1166402.439,272.5015796,62201.5356
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,High-tech,Basil,537058.9302,1074117.86,245.9414344,56215.891
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,High-tech,Tomatoes,779214.8255,1558429.651,220.5069031,50987.51517
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,High-tech,Bell peppers,682678.367,1365356.734,221.8857971,50989.16257
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,High-tech,Zucchini,557713.7423,1115427.485,233.4342283,53288.37951
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Small,High-tech,Strawberries,495086.6454,990173.2907,301.2074211,68762.77095
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Medium,Low-tech,Roses,775582.4279,775582.4279,114.975,26244.33064
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Medium,Low-tech,Lettuce,1008106.477,1008106.477,114.975,26244.33064
"Lihue, Hawaii",21.9769622,-159.3687721,Greenhouse,Medium,Low-tech,Spinach,1015470.913,1015470.913,114.975,26244.33064
